LABEL	preprocessing_A
AGAINST	ernest llunch desconocer socialista assinado año garaje domiciliar otegui reinvindica figurar defender necesidad politicos otegui jamar condenar crimen cometer colega
AGAINST	ines arrimar congreso diputar rivera
FAVOR	hilar juicio telegram instagram facebok videos octubre
AGAINST	show indepe preguntar sacar camion agua tener cochera tener
FAVOR	habeis salir condenar atacar fascista vuestro tardo entrar directo denunciarlo interesar saber #españa #femxarxa #republicacatalana
FAVOR	coincidencia #partidopopular #ciudadanoscs #vox alla #proces derecho votar junto canal sanidad movilidad
FAVOR	solo aclaracionlos indepes radical fueramos dejariamos bandera español manifestacionesy cambiopueden sumo tranquilidadhay muestra ellotu creer reves sucederia linchamientopues
FAVOR	gracioso porque salio medio españa aplaudia fusilar catalán avisar medio apoyar aplaudio fascismo ente mayoria progre artista ahora ojalar gobernar poblar
FAVOR	stampa regime mostra foto roghi pneumatici della catalogna interrompendo traficar autostradale allaltezza lampolla peccato segnaletica stradale vedi foto indicar prossimita leon #spagna #thisistherealspain
NEUTRAL	mulher fome mais ignorante cintura bandido
AGAINST	#fakenews generar #gobierno saliente #campañaelectoral recomer articular esclarecedor felicitar prior santiago cantera #clarividencia #valentia defensa #historia #mandato velar alma
NEUTRAL	sentenciar madrid dictaminar riders glovo falso autonomos #justicia #empresas #empleo #trabajo
FAVOR	creer sinceramente comando rosa cdar independentista idiota
FAVOR	referendum existir rajoy republica ines arrimar voluntad poblar existira soñar humedo
AGAINST	#julio mañana siempre apoyar poblar venezuela luchar libertar democracia #guaidopresidente
FAVOR	como diria jordi sanchez independentista idiota añadir colar proxima jajaja jajaja bonito primavera
FAVOR	cuestion elegir dañar imagen estar dejandolos preso fastidiar fascista absolver nuestro preso
AGAINST	misivo recordar perder vida mano independentista
NEUTRAL	vocês agradeceram hoje serem pernambucanos tudo incrivelmente
FAVOR	lider ciudadano ines arrimar mintio entrevistar semana programa salvar sexto
FAVOR	querido compatriota apoyar trabajar contra violencia generar apuntarme listo negro votar psoe #apuntaminombrevox
AGAINST	difusion rostro testigo quedo creer propaganda regimen #juiciodelproces #golpistasaprision
NEUTRAL	gobierno calificar insensatez viajar arrimar waterlo
FAVOR	viraje juicio #espias madrid excomisario involucrar fiscal #moix estrategia impedir investigar
NEUTRAL	simon bolivar terratinent descendent bascos inspirar discurs chavista nicolas maduro
AGAINST	envia recuerdo desear fuerzapero huir rata saber dejar republica republicano encontrar vida monarquia belga vivir dias seguro compis preso
AGAINST	hare manar evitar profugo puigdemont templar democracia europeo parlamentar
FAVOR	catedraticos derecho defender constitucion observador juicio proces #juicioalproces
NEUTRAL	directo nuevo jornada clavar venezuela esperar sabado entrar ayudar humanitario colombia #venezuelaliveaid
FAVOR	casado rivera convocar manifestacion domingo echar sanchez este terminar autoproclamandose presidente vicepresidente manifestacion pidiendole trump reconocer invadir rescatar democracia golpismo ver
AGAINST	llamar pensar interrogatorio formar mil espectador imponer cubrirse proteger politicos
AGAINST	indices internacional desmentir òmnium cultural españa democracia libre
FAVOR	elultramarinos nacionalismo español desbocar acepto independencia referendum plurinacionalidad concertar economico catalunya ampliacion estatutario autogobierno actual catalunya lazo amarillo último drama rasgar
FAVOR	pequeño discrepancia vecino casal social barriodecia podia votar decia votar democracia saltar iaio dicelos camisa acabar iaiose disfrazar
FAVOR	odiar fascismo ciudadano insultar pensar ellos amenazar ejercitar violencia lanzar comando desobedecer policia salir noche armar peligroso
AGAINST	numerar listo colau favor unilateralidad dudar conveniencia
FAVOR	gustar maduro españistan apoyar democracia arabia saudi politicos juez policias corrupto interferir soberano criminal #salvadosmaduro
AGAINST	mirar independentista culpar nunca autocritica encontrar diferenciar
NEUTRAL	cnskdksidisidisisididid fica mais facil beijar
AGAINST	volen inocular xenofobia nostres avis aconseguiran #quenoensenfrontin
FAVOR	recordar juventud fascismo pisar pobre defender poderoso poder poder deber mejorar defensa clase trabajador ppsoecs rico #argumosa
AGAINST	girar totalmente sorprendente guion borrador constitucion indepes restrictivo pluralidad politica
AGAINST	nadie obligar socialista pactar indepes vender moto tocar falcon poder
NEUTRAL	gente serião aqui gente preciso aprender lidar pluralidade gente vivir mundo extremamente plural extremamente importar você quer reduzir individuo continuar sendo plural ser ser plurais
AGAINST	pensamiento conflicto taxi sector regular logico taxi presionar politicos regular favor negociar
FAVOR	esperar cospedal santamaria zaplana rato mrajoy costa aznar gonzalez casado ribera abascal aguirre zoido borrell villarejo campsmatas urdangarin preparao emerito arrimar vocero carcelero
FAVOR	#fakesuprem oh mirar fiscal muralla sentar soler tirar quien fidel cadena mentir mil videos foto desmontar relatar inventar
FAVOR	decir democracia estar derecho carrero blanco corte libertar politica consistir antojar estar derecho libertar consistir poder licitar
FAVOR	tardar cazar brujo funcionario dirigiendose administrar respetar independentista pederesta neonazi negro
FAVOR	pereza responderte aunque excrecencia mucho pereza huevo sacar noticiar trasladar vergonzoso preso
NEUTRAL	arrimar anunciar saltar politica nacional sabado
AGAINST	nacionalismo vasco bildu nacionalismo catalan pdecat ocuparse mejorar vida persona pais vasco cataluña preocupar idear independencia tierra ideologia asesinar olvidar
FAVOR	vestir declaracion completo verguenza actitud abogar independentista
AGAINST	hombre españa television #lasilenciosacat #golpistasaprision #larepublicanoexisteidiota vídeo forn nega davant jutge doctubre proclamar independencia
AGAINST	mola foto estelado chorrada existir incluir llamar troll bloquear decir troll tioa puro madre consistir separatismo
AGAINST	paises reducir indice paro #europa estar #grecia #españa eternizar precariedad laboral
AGAINST	sanchez pasar historia presidente goberno españa segundar presidente capaz aliarse querer liquidar #españa español corregir urna #stopsanchezf
FAVOR	europa juncker tajani tusk caminar convertirse continente miseria deshumanizacion extremo derecho fascismo volveran crear caos
AGAINST	#siguemetesigovox tempranitoaqui seguir ver juicio golpe estadoestoy ayudarles maleta olvidar barrita jabontorra puigdemont prisionjusticia
FAVOR	tocar piolindos jusapol vindran public publicar animar odiar persecucion discriminacion similar avisar xivatas montaquerellas vindran autocars #omplimsantjaumes
NEUTRAL	isso engodo pois previdência conformar atestar pelar deficitario basto cobrar devedores empresa conglomerar entanto reformar atacar bolso pobre daquele poder reclamar
FAVOR	imaginais alemania gestapo sentar testigo tribunal acusar persona votar impensable pues españa ver vivir directo #judicifarsa #judicitvcatradio
AGAINST	pedro sanchez torrar abandonar catalán entender gobierno #españa proteger ciudadano
AGAINST	rodar prensar torrar puigdemont brusela
AGAINST	sinverguenza cargar recuperacion economica cargar hacer curiosamente menos pararlo cargar orden constitucional #sanchezdimision
AGAINST	querer reconocer tarea desarrollar escuela educacion especial ministerio educacion proponer escuela desaparecer familia preocupar defender sociedad inclusivo #parlament
AGAINST	verdadla brocha gordo ley dejar puerta abrir escrupulos separatista catalán mejorar ley defecto legisladoresq persona flagelar
FAVOR	primer malo gay enfermo querian romper sociedad familia luego indepes infectar romper sociedad familia ahora feminista cualquiera reclamar derecho malo
AGAINST	pero volver patriota democracia politico español elección dinos quien volver
AGAINST	futuro españa defender españolesno defender mesa sentar cuestionar justicia ley democracia basto gobierno defender mesa independentista futuro españa
AGAINST	ocurrir separatista populista rascar poder votar seguir
FAVOR	rufian estrategia partido tocar defender golpista tocar defender narcotraficante violador mantener relacionar sexual pedir año carcel pues todo
AGAINST	gustar presidente pelo lengua valiente representante todo amar este oasis tierra vivir goberneis #siguemeytesigovox ️️
NEUTRAL	pessoas mais querem dar
FAVOR	bromar partir año padre tenientealcalde pscpsoe pasar noche madrugar pegar radiar escuchar directo acontecimiento hermanar año roncar liron cabo legion independentista
FAVOR	pedro sanchez ceder independentista sospechoso independentista presidente societat civil catalán josep ramon bosch amigo personal pablo casado exmilitante
AGAINST	quereis independentista no socialista acordar escuchar alfonso guerra avergonzar sanchez
AGAINST	empezar burrada politicos preso hablar castellano para exitazo inmersion linguistica
AGAINST	miércoles febrero reunion informativo presentar proyecto #vox localidad carmona vicepresidente sevilla rey romero asistencia javier corte vicesecretario implantacion territorial esperar
NEUTRAL	encontrar chrus evans suo hispital psiquiatrico mais proximo
AGAINST	sanchez paso atacar independentista vivir conflicto pero descartar volver gobernar
AGAINST	parecer izquierdo rancio encantaria tejeros derecho realidad españa golpista llevar estelado bandera republicano
AGAINST	#politica economist sugerir indultar politicos preso condenar evitar manchar democracia españa
NEUTRAL	pintura antigrafitis comprarlahi solucion sinoles abrir ojo negociar
FAVOR	valladolid febrero unir movimiento seguir #pensionesdignas #gobiernequiengobierne
NEUTRAL	presidente republica senso twitter teve bloqueou post deve primeiro presidente planeta passar essa vergonha #nuncantesnessepais
AGAINST	igual compatriota restar españa venir octubre barcelona cataluña nuestro detener golpe estar domingo catalán ir madrid detener traicion sanchez pais #sanchezdimision
NEUTRAL	repassem esse tweet seus pais irmãos amigo bolsonaristas perguntem isso vocês elegeram mudar brasil
AGAINST	este colonia alemania llegar carnaval cachondear disfrazar preso golpista prision haria puñetero tipo apoyar llamadme raro
FAVOR	puigdemont principal responsable llamar pancho procesar rebeldia
AGAINST	magnificar idear subir seguidor hora #voxavanza #voxextremanecesidad #espanaviva #siguemeytesigovox
AGAINST	guardia urbano barcelona multar autobus ordenanza convivencia vejacion menospreciar poblacion preguntar multar ayuntamiento colgar lazar amarillo pancarta favor politicos preso
NEUTRAL	tomar caminar inesperado
NEUTRAL	devido obra setor campus estacionamento suficiente penalizar professores servidor entanto falto compreensão equipar segurança notificar motorista
NEUTRAL	pensar nudo desatar
FAVOR	#endirecto declarar supremo jefe dispositivo policial coronel perez cobos antes testificar enric millo neus munte #juicioproces
FAVOR	creer dejar indepes gustar sinceridad preparar digerir verdad mentira entender seguir mentir nuestro bueno sospechar
NEUTRAL	ines catalán constitucionalista sentir indefenso visitar waterlo daras legitimidad cobarde fugar ser esperanzar retratar
FAVOR	eurodiputado pedir anulacion acto parlamentar europeo venir eurocamara cancelar conferenciar puigdemont
NEUTRAL	selectivo español cerrar nivelar maximos ver octubre
AGAINST	abril tropa español imponer ceriñola comenzar hegemonia español prolongaria fecho #eleccionesvotoderechas
FAVOR	saldria añoasi ver botoxicos parlamentar cataluña partido independentista comiendose mierdadespues teatro veredicto milagro seguira humillacion
AGAINST	caracter victimista chantajista independentista catalan demostrar noticiar
AGAINST	querer vivir sociedad machista feminista formar querer fascismo comunismo mamarrachada apestoso formar utilizar mujer vender consignar politicas
AGAINST	pablo historia unidad democracia cosa vuestro descansar
AGAINST	este querer ver politicos #podemos todo apoyar dictador maduro apoyar gente pasar hambre acceso medicinar
NEUTRAL	marta barcelona paular madrid amaia cantar dificil votar
AGAINST	nacionalismo valenciano compromis paso nacionalismo catalan basar tele chiringuito dedazos subvencionar sufrir decadas cataluña grande dejar claro
AGAINST	recuperar delito convocatorio referendum ilegal inexcusable proteger derecho libertad español #pleno
AGAINST	twitter españa permitir separatista poner diana montserrat toro testigo protegido marchena
AGAINST	#siguemeytesigovox politicas buenistas izquierdo constituir crimen español
NEUTRAL	posguerra solian conceder porterias inmueble miembro afinar regimen falangista debian delatar vecino familia sospechoso rojo #apuntaminombrevox
AGAINST	leer interpretar querer referir mayoria admitiria caso referendum este acordar basandose mayoria constitucional torero admitelo mirarlas venir curvo
FAVOR	rellisca todo union mierda ranciar todo destapar independentismo marcharse correr rancio casposo mentiroso inhumano todo poder pastar
FAVOR	ir encuestar presidente estar punto vendernos independentista catalán sillon justar mirar vosotros tajani presidente parlamentar europeo españa sanchez
FAVOR	bastante acordar observación conjuntar impresion solo matiz realidad formar explicitar flotar medir presion forzar referendum dudar ideal
AGAINST	govern difundir punto poner mesa reunion quim torrar pedro sanchez asumir responsabilidad presidente españa derrotar separatismo catalan atrever marchese
FAVOR	tras buscar medio izquierdo decepcionante hallar explicación realmente pasar #abrohilo preguntar respuesta clavar #faqsstrubeltv #lnliopolitico #lnarrimadas
AGAINST	estan puigdemont junquera colgar precipicioel unico salvarles solo poder salvar dosque harias
AGAINST	miriam nogueras presionar rechazar cuenta sanchez elaborar argumentario internar señalar castigar movimiento independentista
AGAINST	parlament investigar suponer cuenta suizo emerito incapaz investigar condenar esquilmar clan pujol satelites politicos separata solucionar problema real catalán
FAVOR	politicos politica saber mover salir foto tranquilo votar poder votar gustaria alternativo malo recordar salir encuestar independentismo
AGAINST	basar democracia democracia tirania anarquia pero dificil entender alguno noies
FAVOR	vivir galicia hablaria galego querria tierra mudar euskadi lucharia derecho alucinar vivir desear permanente flipo
NEUTRAL	lindo vitoria isso flamengo obrigado senhor ️
FAVOR	mercenario haiti hambre haiti corrupcion haiti falto medicinar haiti ayudar avión pais declaración politicos presionar presidente bananero
FAVOR	#sanchezdimision venir dimitir sanchez subir trifasico gobierno tramitar catalunya declarar republica caro quedo
AGAINST	pedir ayudar patriota twiter #eleccionesvotoderechas hastag derecho unir tirar sanchez gobierno podeis utilizar hastag twitts serio ayudar vivo españa
FAVOR	significar sentir verguenza ajeno pujol decir saque catalunya criticar corrupcion comunidad autonoma estar hablar temer basicos partir constitucion entender seguir vigor
FAVOR	hacer arrimar llamar querer interesar representar
FAVOR	colar facilmente tardo discursar siempre democracia todo pero tele poner tardo cortar renunciar independentismo nuevo hacer miralo enterar
AGAINST	demostrar demostrar pasar cenar izquierdo etarra separatista caro duro servir conocer llevar partido socialista hecatombe
AGAINST	dar bienvenido asesino terrorista sociedad catalán independentista quedar precioso dar vienvenida calaña
AGAINST	este encuestar deberia saltar alarmar llamaria #votoutil pensar #votoconstructivo provincia #eleccionesvotoderechas
NEUTRAL	donald trump control echar maduro analizar opción
FAVOR	lorena roldan sustituira ines arrimar frente catalunya
NEUTRAL	reaccionar saltar arrimar congreso
AGAINST	jose antonio nieto fijar tuit perfil honor juramentar prestar #joseantonionieto #juiciodelproces
NEUTRAL	alguien karaoke maduro
FAVOR	seguramente democracia unicamente fachado decorar restar cuando unidad indivisible democracia ddhh valer
AGAINST	democracia interno discrepante purgar turco invadio comunismo #psodemos
AGAINST	ninguno importar colega fuerza seguridad poblacion separatista salvarse pellejo fanatico
AGAINST	puro impotencia enric declaracion desmontar relatar pacifista proces doler empujar golpista poquito prision
NEUTRAL	mundo desde iniciar juicio independentismo intensificar campaña odiar difamacion desprestigiar internacional democracia
AGAINST	#felizdomingo #nivasijasniprostitutas franquismo asesorar gestapo preso siniestro campo concentracion posguerra
AGAINST	#endirecto rechazar violencia asegurar nunca nunca defender renegar unilateralidad independencia
AGAINST	cataluña año nunca repromido golpista siempre permitir privilegiar oligarquia imperante expoliar saquear estar connivencia gobierno españa liderazgo abyecto ruina miserable extirpar cárcel
NEUTRAL	torrar puigdemont acusar eurocamara convertirse marioneta derecho español
FAVOR	ganar lagrimar testigo octubre mil policias depresion destrozar animicamente brazo roto amputación vietnam pasar golpe estar catalan superar jamar #judicifarsa
AGAINST	gratificante leer impresionar interrogatorio fiscalia independentista catalán evidente gente mayoria vestir juicio antes consolar supremo cumplir objetivar convertir causar espectaculo
FAVOR	este video dedicar señor salir manifestación lleno independentista bailar saltar reír bandera español #llibertatpresospoliticsiexiliats
FAVOR	foto demostrar relatar fiscalía falso ser periodista pasar hora subir coche correr foto #joacuso
FAVOR	este semana debatir votar congreso proponer meter año carcel convocar consultar popular referendum concurrencia cuestion violencia malversacion etcetera
FAVOR	pues vasco enviar rosa diez catalán arrimar rendios rendios
FAVOR	preso politicos catalán mobiles este tratar vejatorio maltratar padecer padecer tanto sala preguntar ahoray trayecto descansar privar
NEUTRAL	morir marti galindo actor colaborador cronicas marciano
NEUTRAL	independentista cargar presupuesto votar derecho
FAVOR	periodico malo opcion seguro independentismo cerrais largar
FAVOR	acabar inventarte jordi sanchez conventracion agredio policias bandera independentista ilegal mentira justificar parecer encarcelar año servir vivir mentir alla
FAVOR	dar enorme ser #primeradiada #diadaencompanyia diagonal tramo lleno nivel alto ocupacion martes hacer historia nanit republicans #llibertatpresospoliticsiexiliats #republicacatalana
AGAINST	progresar quedar atras reivindicar politica util tolerante crispar menos faltón reivindicar politica unir español enfrentarlos porque necesitar sociedad fuerte #laespañaquequieres
FAVOR	diferenciar indepe abismal
FAVOR	colmar colmo politicos monolingues ir lección educacion ciudadano
FAVOR	susceptible empeorar adornar #feminismoideologia generar dcha combatir abortar derecho #conderechasnohayderechos asi preparar #casado
AGAINST	muchisimas apoyar incansable incesante participar #jusapoltv hasta finalpilon #equiparacionya #prohibidorendirse #nuestravidanovalemenos #ilpjusapol
FAVOR	cobos acordar fiscalia afinaria veritat estic flipant #lafiscaliateloafina #deloscobos #judicifarsa
FAVOR	mossos reprimir evitarlo desobedecer desobedecer justificar represion govern desobedecer represion fracasar
AGAINST	peticion independentista boicotear comision asociacion comparecera martes exponer terrible deficits democraticos universidad catalán #unauniversitatdetots
FAVOR	este familia patricio romano hacian republica salio nabo surgio imperio version oficial historia desaparecer ver desaparecer
FAVOR	ocultar apoyar derecho decidir perdeis votar intelectual perdereis votar unionista ultra salir relucir cuado irene enfatizar romper españa matizar derecho decidir romper intransigencia
NEUTRAL	diego perez cobos meva sorpresa veure senyor trapero junto seguretat quan corresponia #judicitvcatradio
FAVOR	izquierdo prevalecer derecho ciudadano politicos representar izquierdo mencionar lado preferir obligar mayoria ciudadano territorio pertenecer estar querer cierto
AGAINST	imaginaos junio ganar madrid champions tener gobierno centro derecho quiza resolver juicio vestir sentenciar trullo cataluña fecho caducidad hablar junio
FAVOR	paradoja mundo venezuela titere autoproclamado presidente guaido libre clamar intervencion militar patrio españa monarquia democratica preso politicos juicio #juicioalproces condenar año
AGAINST	socialista protagonizar mejorar social españa querer colocar cordon sanitario pero cordon sanitario impedir progresar pais #laespañaquequieres
AGAINST	quimtorra cargar eurocamara permitir conferenciar puigdemont verguenza
FAVOR	casado partido corrupto preparar volver gobernar seguir engordar caja #lapatriasonpersonas
AGAINST	ocurrir borrell equipar diseñar logos colorir bandera republicano grafismo podemospartido necesitar independentista deslegitimarlo institución democraticas pedrosanchez gobierno verguenza
NEUTRAL	estranho caso presidente republica quer resgatar moralidade nação posta video golden shower milhões seguidor qualquer tipo restrição
NEUTRAL	oposicion venezuela anunciar millón donación internacional ayudar humanitario
AGAINST	quien respetar democracia fascista alarde gen supremacista
AGAINST	perdido cataluña ganancia restar españa ver gestionar sustituto dificil labor parlament arrimar saltar españa
AGAINST	apartheid militar guardia civil constitucion catalán españa
AGAINST	hablar maquinaria mediatica independentismo nutrir victimismo blanqueais terrorismo vosotros recordar help catalonia españa movio dedo haciais campaña mediaticatodo mundo juicio
NEUTRAL	denunciar lider mossos republica defensor poblar
AGAINST	gracia barcelonacon politicos preso esperar kmandos mossos presosk idear gracia informaciony agradeceriamos hacer llegar compatriota creer fakes indepes ver realidad
AGAINST	poco arrinconar nacionalismo catalan dudar avisar navegante miembro union europeo problema nacionalismo interno
FAVOR	fascismo callar proclamar presidente interino ser ridiculos dar asco
FAVOR	dialogar pretender dialogar excluir indepe seguiran paso adelantar dar posibilidad unionista expresarse votar discursar siempre hacer periodismo enterar año
FAVOR	ortega lleno razon educar escuchar parecer clon arrimar tallar democratica entender todo
FAVOR	#thisistherealspain soto real requisar jueves romeva politicament incorrecto
FAVOR	completamente acordar exigencia libertar leopoldo lopez cambiar rastrero cinico decir palabra favor preso politicos #llibertatpresospolitics #joacuso
FAVOR	este pactar indiferencia ganar psoe disgustar prestar pactar fascismo fascismo
FAVOR	#pedrosanchez descartar pacto #ciudadanos disponer todo entrevistar presidente gobierno #eleccionesgeneralesabril
NEUTRAL	#feb desde #venezuelaaidlive marko pedir olvidar preso politicos juan requesens #requesensvzlacontigo
NEUTRAL	esse título esse essa narração saudade
FAVOR	aplicatelo niño bonito juzgar preso politicos catalán #inquisitiontocat
FAVOR	hora indepes empezar leer tuits comunicar igual enemigo decir
FAVOR	conocer significar etimologia palabra nazi saber independentista catalán querer destruir españa saber noto lengua castellano catalunya medio español ccaa
NEUTRAL	independentista ironizar titular considerar resistio presionar convocar elección general
FAVOR	#mvtrelator unica pagar enorme deuda español catalunya hara cambiar independencia economica social juridica
AGAINST	enero escribi articular juicio provocar efecto contrario desear independentismo escaparate dejar aire miseria procesar temer acerte perdonar autobombo
FAVOR	ganar poder asistir mani vosotros defensa democracia derecho humano incluir libre determinacion compis republicano ser apoyar causar catalunya
NEUTRAL	flavio bolsonaro alvo apurações
FAVOR	recordar muralla humano año baston venir votar mesa sangrar brecha cabeza porque servidor publicar seguramente cejar cocaina abrir cabeza colegiar votar #judicifarsa
AGAINST	recordar apoyar porque ️⃣nefasta gestion seguridad mantero ️⃣ser anti ️⃣justificar populismo puigdemont independentismo unilateral realidados él
AGAINST	querer todo español ser igualar mismo derecho deber querer gente romper convivencia #laespañaquequieres
AGAINST	junquera renegar unilateralidad foto hermanar gemelo perder encontrar super #juicioproces
FAVOR	gobierno españa politica estar disponer todo acordar fiscal afinar turull #elsmatinstv fiscal matxaca jordi informe frase inexistents tweets innocents #judicifarsa
AGAINST	volver elpidio brusela quedar puigdemont
FAVOR	albert rivera quito caña pescar andaluz beber cafe financiar pensionar articular quedo amable camarero chiringuito playa contratar parcial salario minimo cobrar negro
AGAINST	lopez tena diputar catalan claro bajar nacionalismo cataluña nivel empresarial empresa catalán crear franquismo culpar españa mal cataluña bravuconada
FAVOR	dejar sorprendente gente razonar pactar sanchez solucionar rajoy caida sanchez permitir indepes favor derecho raritos
AGAINST	querer zascas doquier bazofia programa #vox #voxextremanecesidad #siguemeytesigovox #españaviva #españa dentro video partir
AGAINST	casi acordar afirmación deberias dialogar funcionar independentista reclamar realidad desear objetivar destruir construir suyo realidad querer dialogar nada
AGAINST	joaquim form decia referendum ilegal cumplio ordenar fiscalia dudar mucho este dedicar mossos controlar obsesivamente evitar referendum ilegal
AGAINST	#encuesta creer opcion elección #vox argumentar respuesta
FAVOR	pastor hablar dopaje para dopaje campaña electoral ir dopar financiacion ilegal #siemprepsoe
AGAINST	gobierno socialista orden hacienda para investigar incluso donde vivir herencia españa trocear gustar reino taifa unico saquear español #voxextremanecesidad #siguemeytesigovox
AGAINST	principal ayuntamiento gerundense gerona figueras gobernar separatista aprobar presupuesto abstención concejal casado regenerador decir
NEUTRAL	xisca perello evitar nadal entrevistar optar discrecion preferir resultar señalar parejo tenista español julia otero
AGAINST	leer prensar tipo puigdemont restar parar lloriquear caso habeis conseguir reconocer tato unico gobierno llamar preso politicos venezuela
FAVOR	trayectoria espadar titanic barcelona claro mejido publicitario corto siniestramente oponer democracia
FAVOR	imaginar rodar prensar afirmar burro volar entonces cataluña presidente republica waterlo puigdemont criticar negociar
FAVOR	claro comparar carcel waterlo carcel visitar familia waterlo visitar arrimar peor #todoesmentira
FAVOR	este preguntar tramposo jaja dire independencia jijaja pensar
NEUTRAL	cientifica lograr eliminar virus papiloma humano
NEUTRAL	#hoy avanzar neofascismo xenofobia democracia barrio caba difundir derecho empadronamiento votar migrante
FAVOR	ir recibir formacion taller resistencia estais chalar #judicidelavergonya
AGAINST	palabra justamente reír españa mentira aqui pillar humor catalan junquera reír españa señor haciendonos dañar terrible mismo señor politicos
AGAINST	condenar acto intolerable nacionalismo provocar violencia odiar cataluña tener acabar forzar democracia estar derecho solidaridad ciudadano agredir girona #nonoscallaran
AGAINST	portavoz joaquim bosch malabarismo verbal terminar justificar todo referendums pacotilla hacer vinculante cambiar constitucion #lnarrimadas
NEUTRAL	nuvens beijando gente
FAVOR	television francés emitir reportaje explicativo juicio procesar independentista
NEUTRAL	llenais boca indultar golpista larrimadas visitar puigdemont tipo crecer ahora politicos infravalorar volvais dignidad
FAVOR	equivocar pues vencer fascismo valer extremo demostrar bipartidismo centro repetir centro razon sencillo fascismo nacionalsocialismo mezclar ideologias nacional socialista
FAVOR	pillar señal juicio dificil urdangarin prision #thisistherealspain
AGAINST	iberismo amplio separatismo catalan reducir entender diferenciar decir este proyecto burguesia neoliberal xenofoba etnicista totalitario torrar proyecto clase trabajador torrar dimitir representar conjuntar catalán
FAVOR	abogar estar mostrar nivel actuacion #juicioproces
NEUTRAL	quando você joga muito kkkkkkkkkk
FAVOR	como independencia unilateral estar español problema listo problema mundial
AGAINST	habra explicarte llamar riesgo fugar manar pasaportar dificil fugarse politicos preso demostrar facilidad huir gallina huevo pero bueno interesar
FAVOR	brusela rechazar presupuesto na culpar independentista dedicar izquierdista sofa iros cagar rato #adiospedro #votanno
AGAINST	constitucion catalán republica existio preve autorizar partido querer votar referendum separacion territorio estar catalan indivisible dudar
AGAINST	exigir estudiar relacion realmente gilipollas indepe
FAVOR	financial timar machista independentista
AGAINST	mossos traidor constitucion jurar mossos mossos dato mossos mossos odiar español justicia actua
FAVOR	problema saber sobrar iniciar farsa democracia preso politicos exiliar representacion democratico juez entredecir
FAVOR	deber permitir celebrar plaça sant jaume mil persona demostrar luchar fascismo derrotar controlar territorio
AGAINST	mentira manipulacion procesar desmontandoselas caer año quien juicio problema directodiferidorepetido trabajais politicos separatista cerrar parlament
AGAINST	entidad indepe comprar publicidad capital europeo publicitar proces
AGAINST	trapote policias herir documentar paes facultativo correspondiente desempeñar funcionar impedir acceso colegio #juicioproces
FAVOR	gobierno reconvertir descubrimiento hacer mismo amenazar encubrir
FAVOR	beneficiarme costa sufrimiento otrospork avarotraidor rencorosodebe niño sali disparar pared dañar cabezapork politicos sentir marciano
AGAINST	democracia basar diversidad parecer pensamiento unico izqueirditas querer imponer simple dictadura vida señorito rico aprovechandose poblar vidorra acaso ver
AGAINST	españa caber #eleccionesvotoderechas #abrilelecciones este impresentable mentir acto conocer querer poder importarles ruptura estar derecho
FAVOR	entonces dirigente independentista ciento mil problema
NEUTRAL	#juicioproces reanudar testimonio jefe policia guardia civil catalunya siguelo directo catalunyapress
AGAINST	facil engañar separatista contrario volveran engañar reconoceran engañar tonteria leido mark twain verdad
FAVOR	ines arrimar noviembre casi mes rebelion tuit violencia machista
NEUTRAL	incognita venezuela volver juan guaido
FAVOR	realidad expulsar catalunya independentismo catalunya futuro politico adios facha visca catalunya lliure rata
FAVOR	hacer llamamiento social defender #porderechoavivienda interpelar partido politicos solucionar legitimar llenar calle
FAVOR	subir logico subir pagar sueldazos millonario felipe gonzalez doceno politicos chulo acompañar gratis
FAVOR	#salvadosmaduro uf preguntar #maduro detener guaido momento libre carcel politicos catalán resultar surrealista
AGAINST	#nohablesenminombre tambien mujer querer feminismo supremacista utilizar mujer #españaviva romper holgar
FAVOR	racismo pensamiento fascista nazismo franquista crecer españa partido politicos
NEUTRAL	agresión lgtbifobicas cataluña machismo fascismo campar ancho #stoplgbtifobia
NEUTRAL	último hora soraya rodriguez bajo psoe discrepancia independentismo
AGAINST	grande importante europa naturaleza secesionismo dejar golpista vender relatar falso #lnarrimadas #graciasines
AGAINST	cadena supermercado gastar #guardiacivil uniforme trabajador cadena supermercado origen valenciano invertir millón renovacion vestuario emplear
AGAINST	fake izquierdo indepe marta dedo roto
FAVOR	pero votar presupuesto violador golpista insensible votar
AGAINST	preparar episodio mañana #jusapoltv héroe olvidar #equiparacionya #pnygcnoserinden #ilpjusapol gracia #albertoortiz suscríbete
NEUTRAL	mision institucional cofavic promover fortalecer respetar #ddhh contribuir consolidacion democracia luchar impunidad educacion difusion derecho internacional derecho humano #añosdelcaracazo
NEUTRAL	depois culpar pedreiro
FAVOR	aldea mujer jinwar espaciar mujer reuniran viviran trabajar junto vida libre comunal democracia ecologia liberacion mujer nacion mujer utopia #juevesfeministas
AGAINST	mientras españa formacion politica carcel cuerpo darles soldar italia poner preso asfaltar carretero limpiar calle tener utiles sociedad
NEUTRAL	secuestrar juezfiscales comoplices violar ddhhpor violar procesolibertad restar preso politicosregimen responsable integridadfuerza hijote rendir
NEUTRAL	mujer morir persona resultar herir tirotear frontero venezuela brasil
FAVOR	octubre gente suplir complementar administracion decidir votar futuro
NEUTRAL	presidente encargar venezuela oficializar nombramiento gobernador #noticiasevtv #venezuela #mar
NEUTRAL	indepes tambien
